usuario,num_tweets,num_amigos,num_seguidores
AlexisMoralesZ4,0,330,12
dachilenito,11659,3701,1581
noor_1353,0,17,1
the_susiitha,7,66,9
Juanelo50911610,16,49,1
RalGuti95886940,10,67,7
jedominguezs,515,72,24
Andinostt,140,1358,199
JessicaArrao2,0,14,0
Macaren93826953,0,11,1
_Melyss_,13,82,10
HeiseKaty,72,234,38
Cristia12504804,6,68,2
PAOLA43159885,0,38,1
NikolToledo5,0,74,2
Giova86071890,0,20,0
ValeskaVielmas,0,18,0
Natalia90804889,4,41,0
theSaimon10,0,62,1
lbsq06,1560,637,153
fiesta_dellibro,63,195,31
Katheri77292610,0,74,1
DuarteVald83,0,52,1
jmtoledo67,11,47,0
jaensimex,4,25,0
MAComplejidad,168,175,173
chileli14053481,49,34,1
Mariluz86331108,7,68,0
ggonzalem,2,47,5
JulioMo14901932,0,21,0
Robinso18346177,0,52,0
Javiera58508208,4,76,0
NancoKarina,399,51,15
sergiovilches8,68,28,4
ElisaGa52440153,1,122,2
edwincampos23,4,5,6
MartaRomo20,0,39,0
MdPiera,3,16,2
OTDChile,195025,19603,22345
chicatietzen,5,18,5
RomyCarvallo,366,459,106
CristhoperEspi8,10,10,0
PipeOcampo1211,0,32,1
JairoMskz,1,13,2
MileidaPirela,2,209,13
Angela62470728,78,140,12
MiguelM66700153,0,42,0
hernanc75049161,10,3,0
sam1_andres,3,16,1
Eloj40924730,0,51,1
Palma97top,4,150,1
MauroAravena4,0,6,0
Ignacio84560122,0,37,1
a_fernandezv12,11,235,22
Lapageria,716,141,105
SurDelOceano_,8453,306,110
Fernand07070652,0,33,1
PiaNacha13,0,23,1
hispano726,77,1697,108
Mane45364087,65,28,9
Enrique43942028,1,9,3
aguilarelytha,3,176,13
MarioliRoxana,0,46,5
Rodrigo36352553,25,0,36
Soledad22598825,0,73,3
Jonatha37893001,0,7,1
Constan28939218,0,19,0
SaraiFuentesCa1,0,54,0
PaulinaWinkler,0,67,3
chamicors,2029,960,230
Vanness71824698,0,12,0
silvana_daphne,800,83,18
William31680885,0,9,0
AgustoRomero7,0,50,0
hvv89840696,0,15,0
robertohacin,267,292,48
Jespinca,15,83,11
danisaHernndez1,0,20,2
IgnacioVivero17,26,56,3
VictorVitokus,554,356,84
amapolaura,0,18,0
franc_troncoso,30,37,6
PameMSD,0,37,0
JpEstadistico,28,533,63
FelipeP34621354,1,24,0
Ricardo43121473,0,13,0
2123Ignacio,30,100,1
Jonatha05822328,0,21,1
lakari90767650,2,33,1
francis78219183,0,73,0
Juan51428919,8,115,3
cris00086303822,0,178,2
KarlSteiner25,3,93,0
Alonso52266139,1,10,0
francis55733773,0,31,0
Ilse05187656,0,19,3
LoretoPalma9,0,9,0
crimaldona,0,16,1
Benjaja_,2241,133,32
Lore10113593,0,16,0
Gypsy24600082,1,7,0
Noem08567630,11,151,7
Andrea00921232,0,102,0
DiegoFi39757403,8,58,2
Rubn06047752,3,35,0
Felipe58104599,1,63,0
Danigmuav,7,99,8
PABLO67637912,0,9,0
Francis17526952,2,7,0
Chawkosky,20,67,19
Fcosvs,0,7,0
juanygomezcea,3,42,11
carlaromanp,45,165,31
Patagon2211,111,30,5
Juancar39957815,34,28,3
Jemmilin1,0,9,2
Yasmin34535309,0,4,0
JosefaPoblete5,15,23,0
barhi_mol,0,9,0
HernanG79769800,0,25,0
NikolGu39883958,0,23,0
RetamalesIvan,21,95,22
FyneeDs,1,79,13
RonnyChavezH,0,211,8
constanzalobo_s,13462,570,237
mariamercedesY8,1,155,4
Olinda60861993,1,86,2
CampesinoInfor1,4,183,0
Wiloski5,0,28,0
BalderSun,10,594,8
mayda_vergara,0,28,1
claudioconserv1,0,13,0
Karol99946904,0,54,9
Gati1482,0,102,5
km3ll0,4,403,29
EvilexisVelzqu1,0,98,0
Claudito09,0,50,2
